intent_threshold,retrieval_threshold,auto_handle_count,escalate_count,automation_coverage,escalation_rate
0.3,0.5,18451,5730,0.763,0.237
0.3,0.55,18400,5781,0.7609,0.2391
0.3,0.6,18195,5986,0.7525,0.2475
0.3,0.65,17471,6710,0.7225,0.2775
0.3,0.7,15697,8484,0.6491,0.3509
0.3,0.75,12168,12013,0.5032,0.4968
0.4,0.5,12129,12052,0.5016,0.4984
0.4,0.55,12097,12084,0.5003,0.4997
0.4,0.6,11982,12199,0.4955,0.5045
0.4,0.65,11536,12645,0.4771,0.5229
0.4,0.7,10354,13827,0.4282,0.5718
0.4,0.75,7944,16237,0.3285,0.6715
0.5,0.5,8404,15777,0.3475,0.6525
0.5,0.55,8387,15794,0.3468,0.6532
0.5,0.6,8306,15875,0.3435,0.6565
0.5,0.65,8032,16149,0.3322,0.6678
0.5,0.7,7229,16952,0.299,0.701
0.5,0.75,5567,18614,0.2302,0.7698
0.6,0.5,5751,18430,0.2378,0.7622
0.6,0.55,5742,18439,0.2375,0.7625
0.6,0.6,5690,18491,0.2353,0.7647
0.6,0.65,5527,18654,0.2286,0.7714
0.6,0.7,4998,19183,0.2067,0.7933
0.6,0.75,3883,20298,0.1606,0.8394
0.7,0.5,3386,20795,0.14,0.86
0.7,0.55,3380,20801,0.1398,0.8602
0.7,0.6,3349,20832,0.1385,0.8615
0.7,0.65,3273,20908,0.1354,0.8646
0.7,0.7,3010,21171,0.1245,0.8755
0.7,0.75,2402,21779,0.0993,0.9007
0.8,0.5,1352,22829,0.0559,0.9441
0.8,0.55,1350,22831,0.0558,0.9442
0.8,0.6,1339,22842,0.0554,0.9446
0.8,0.65,1317,22864,0.0545,0.9455
0.8,0.7,1242,22939,0.0514,0.9486
0.8,0.75,1026,23155,0.0424,0.9576
