true/predicted,software_update,device_troubleshooting,battery_power,connectivity,apple_music_media,account_security,purchase_store_refund,app_service_issue,how_to_settings,general_or_insufficient_context
software_update,3,12,0,1,0,0,5,0,1,0
device_troubleshooting,5,10,1,0,1,0,5,0,3,0
battery_power,3,7,2,1,3,1,0,2,1,0
connectivity,4,8,0,3,0,0,4,1,0,0
apple_music_media,0,11,1,1,1,0,4,0,1,0
account_security,3,6,1,1,2,0,2,0,2,0
purchase_store_refund,3,7,0,0,1,1,4,1,2,0
app_service_issue,2,8,0,1,0,0,4,0,2,0
how_to_settings,2,2,1,1,0,0,7,0,1,0
general_or_insufficient_context,1,14,1,1,0,0,10,0,0,0
